,hab,agglomerative_cluster
0,компания,1
1,блог,1
2,разработка,7
3,программирование,4
4,веб,7
5,сайт,7
6,it,9
7,управление,11
8,система,4
9,c,4
10,информационный,5
11,безопасность,5
12,javascript,7
13,мобильный,7
14,приложение,7
15,администрирование,3
16,игра,7
17,системный,3
18,android,7
19,алгоритм,4
20,group,1
21,microsoft,4
22,ru,1
23,net,4
24,data,8
25,open,4
26,проектирование,4
27,ios,7
28,source,4
29,php,4
30,тестирование,4
31,интернет,6
32,java,4
33,технология,3
34,проект,11
35,маркетинг,6
36,инфраструктура,3
37,python,4
38,дизайн,10
39,серверный,3
40,api,4
41,высокий_производительность,4
42,анализ,4
43,сетевой,3
44,карьера,11
45,индустрия,11
46,математика,4
47,персонал,11
48,big,8
49,машинный_обучение,8
50,html,7
51,mail,1
52,css,7
53,интерфейс,10
54,e_commerce,9
55,связь,5
56,продукт,11
57,mining,8
58,ненормальный,4
59,node_js,4
60,гаджет,2
61,обработка_изображение,4
62,сервис,12
63,бизнес_модель,11
64,криптография,1
65,windows,4
66,настройка_linux,3
67,gtd,11
68,usability,10
69,рефакторинг,4
70,стандарт,5
71,unity3d,7
72,аналитика,6
73,nix,3
74,повышение_конверсия,6
75,azure,4
76,яндекс,4
77,sql,4
78,исследование_прогноз,9
79,intel,4
80,бизнес,11
81,монетизация,6
82,робототехника,2
83,хранение_данный,3
84,positive_technologies,1
85,развитие_стартап,11
86,продажа,11
87,финансы,9
88,visual_studio,4
89,платежный,4
90,zfort,7
91,компьютерный_железо,2
92,виртуализация,3
93,jug,4
94,медиа,6
95,поисковый,12
96,законодательство,11
97,совершенный_код,4
98,функциональный,4
99,контент,6
100,учебный_процесс,9
101,визуализация_данные,8
102,сообщество,11
103,смартфон,2
104,windows_phone,4
105,ruby_on,4
106,growth_hacking,6
107,браузер,4
108,данные,5
109,венчурный_инвестиция,11
110,google,4
111,вещь,4
112,реверс_инжиниринг,4
113,занимательный_задачка,4
114,objective,7
115,хостинг,3
116,angular,4
117,спортивный,4
118,devops,3
119,компилятор,4
120,микроконтроллер,4
121,профессиональный_литература,4
122,qt,4
123,ооп,4
124,reactjs,4
125,геоинформационный_сервис,4
126,go,4
127,pvs_studio,4
128,параллельный,4
129,оптимизация,12
130,postgresql,4
131,sql_server,4
132,издательский_дом,4
133,питер,4
134,cms,4
135,asp,4
136,agile,11
137,google_chrome,4
138,1cloud,9
139,cisco,3
140,eset_nod32,5
141,assembler,4
142,linux,4
143,отладка,4
144,asterisk,5
145,swift,7
146,игровой_приставка,2
147,nosql,4
148,хранилище_данные,3
149,mysql,4
150,космонавтика,2
151,промышленный,4
152,облачный_вычисление,3
153,jquery,4
154,обмен_сообщение,4
155,беспроводный,3
156,oracle,1
157,фриланс,11
158,django,4
159,rails_ruby,4
160,резервный_копирование,3
161,читальный_зал,9
162,медийный_реклама,6
163,ruvds_com,5
164,crm,11
165,services,4
166,ита_град,3
